page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Conventional models and artificial intelligence-based models for energy consumption forecasting: A review,https://www.sciencedirect.com/science/article/pii/S092041051930600X,Kd52c3BEg88J,"N Wei, C Li, X Peng, F Zeng, X Lu - Journal of Petroleum Science and …, 2019 - Elsevier",… artificial intelligence (AI)-based models have been widely applied for energy consumption … This paper reviews conventional models and AI-based models in energy consumption …,152,"https://scholar.google.com/scholar?cites=14952870437564374569&as_sdt=2005&sciodt=0,5&hl=en&num=20",14952870437564374569,,{},{},,,
1,2,,"Energy sustainability in smart cities: Artificial intelligence, smart monitoring, and optimization of energy consumption",https://www.mdpi.com/355516,sa7T8tx-X5sJ,"KT Chui, MD Lytras, A Visvizi - Energies, 2018 - mdpi.com",… provide backup power or to supplement the main power grid … paper employs advances in artificial intelligence and big data … form of decreased energy consumption and greater energy …,148,"https://scholar.google.com/scholar?cites=11195806686098206385&as_sdt=2005&sciodt=0,5&hl=en&num=20",11195806686098206385,12.0,"https://scholar.google.com/scholar?cluster=11195806686098206385&hl=en&num=20&as_sdt=0,5&as_vis=1",11195806686098206385,HTML,mdpi.com,https://www.mdpi.com/1996-1073/11/11/2869/htm
1,3,,Energy consumption forecasting in agriculture by artificial intelligence and mathematical models,https://www.tandfonline.com/doi/abs/10.1080/15567036.2019.1604872,2Jat7dGrIjYJ,"E Bolandnazar, A Rohani, M Taki - Energy Sources, Part A …, 2020 - Taylor & Francis","… that ANN can predict energy consumption better than regression models. In this study, the models are developed based on artificial intelligence for predicting the output energy of potato …",60,"https://scholar.google.com/scholar?cites=3900869145380361944&as_sdt=2005&sciodt=0,5&hl=en&num=20",3900869145380361944,6.0,"https://scholar.google.com/scholar?cluster=3900869145380361944&hl=en&num=20&as_sdt=0,5&as_vis=1",3900869145380361944,PDF,tandfonline.com,https://www.tandfonline.com/doi/pdf/10.1080/15567036.2019.1604872?needAccess=true&role=button
1,4,,Integration of artificial intelligence methods and life cycle assessment to predict energy output and environmental impacts of paddy production,https://www.sciencedirect.com/science/article/pii/S0048969718308428,bwSzLayKd68J,"A Nabavi-Pelesaraei, S Rafiee, SS Mohtasebi… - Science of the total …, 2018 - Elsevier","… can be readily predicted by artificial intelligence (AI), owing … predict future agricultural energy use pattern under constraints. This paper conducts energy output and environmental impact …",177,"https://scholar.google.com/scholar?cites=12643726950971671663&as_sdt=2005&sciodt=0,5&hl=en&num=20",12643726950971671663,11.0,"https://scholar.google.com/scholar?cluster=12643726950971671663&hl=en&num=20&as_sdt=0,5&as_vis=1",12643726950971671663,PDF,academia.edu,https://www.academia.edu/download/56076684/Paddy-ANN_ANFIS.pdf
1,5,,Predictive modeling for power consumption in machining using artificial intelligence techniques,https://www.sciencedirect.com/science/article/pii/S2212827114008853,ghNQXV7Y8XQJ,"G Kant, KS Sangwan - Procedia CIRP, 2015 - Elsevier","… artificial intelligence techniques [3-10]. Therefore, this paper aims at predicting the power consumed in machining using artificial intelligence … the consumption of electrical energy used …",54,"https://scholar.google.com/scholar?cites=8426754277590963074&as_sdt=2005&sciodt=0,5&hl=en&num=20",8426754277590963074,8.0,"https://scholar.google.com/scholar?cluster=8426754277590963074&hl=en&num=20&as_sdt=0,5&as_vis=1",8426754277590963074,PDF,sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2212827114008853/pdf?md5=4a05343021609ba7a878d3c2a927df85&pid=1-s2.0-S2212827114008853-main.pdf&_valck=1
1,6,,Seeing the unseen: revealing mobile malware hidden communications via energy consumption and artificial intelligence,https://ieeexplore.ieee.org/abstract/document/7362010/,RyzTSJly7ewJ,"L Caviglione, M Gaggero, JF Lalande… - IEEE Transactions …, 2015 - ieeexplore.ieee.org","… of using measurements of the energy consumed by a device to … setup to quantify the energy consumption of the software … on two well-known artificial intelligence tools, ie, neural …",142,"https://scholar.google.com/scholar?cites=17072427765108780103&as_sdt=2005&sciodt=0,5&hl=en&num=20",17072427765108780103,9.0,"https://scholar.google.com/scholar?cluster=17072427765108780103&hl=en&num=20&as_sdt=0,5&as_vis=1",17072427765108780103,PDF,hal.science,https://hal.science/hal-01247495/document
1,7,,Effective bulk energy consumption control and management for power utilities using artificial intelligence techniques under conventional and renewable energy …,https://www.sciencedirect.com/science/article/pii/S0142061518329776,FW709N3tgL4J,"T Ahmad, H Chen, WA Shah - … Journal of Electrical Power & Energy …, 2019 - Elsevier","… 1 shows the WSHP, chiller and total energy usage data. In this study, the only WSHP energy consumption data is used for analysis and it is because to use the minimum order of energy …",42,"https://scholar.google.com/scholar?cites=13727233201778486805&as_sdt=2005&sciodt=0,5&hl=en&num=20",13727233201778486805,,{},{},,,
1,8,,Real-time detection of energy consumption of IoT network nodes based on artificial intelligence,https://www.sciencedirect.com/science/article/pii/S0140366419321048,F7KRuAK_HpgJ,"J Zhang - Computer Communications, 2020 - Elsevier","… , from the perspective of reducing network energy consumption, balancing node energy consumption, and considering network delay, this paper proposes that the selected nodes in the …",21,"https://scholar.google.com/scholar?cites=10961408561473761815&as_sdt=2005&sciodt=0,5&hl=en&num=20",10961408561473761815,2.0,"https://scholar.google.com/scholar?cluster=10961408561473761815&hl=en&num=20&as_sdt=0,5&as_vis=1",10961408561473761815,,,
1,9,,"Use of artificial intelligence for the estimation of effective moisture diffusivity, specific energy consumption, color and shrinkage in quince drying",https://onlinelibrary.wiley.com/doi/abs/10.1111/jfpe.13358,9dM8Blb3hHEJ,"E Taghinezhad, M Kaveh… - Journal of Food …, 2020 - Wiley Online Library","… power levels of 100, 200, and 300 W, air temperatures of 40, 55, and 70C, and air velocities of 0.5, 1, and 1.5 m/s. Nevertheless, three artificial intelligence … were evaluated to predict the …",47,"https://scholar.google.com/scholar?cites=8179934772055561205&as_sdt=2005&sciodt=0,5&hl=en&num=20",8179934772055561205,5.0,"https://scholar.google.com/scholar?cluster=8179934772055561205&hl=en&num=20&as_sdt=0,5&as_vis=1",8179934772055561205,PDF,researchgate.net,https://www.researchgate.net/profile/Iman-Golpour/publication/338376614_Use_of_artificial_intelligence_for_the_estimation_of_effective_moisture_diffusivity_specific_energy_consumption_color_and_shrinkage_in_quince_drying/links/5e16f4e1a6fdcc2837635884/Use-of-artificial-intelligence-for-the-estimation-of-effective-moisture-diffusivity-specific-energy-consumption-color-and-shrinkage-in-quince-drying.pdf
1,10,,Real-time energy consumption detection simulation of network node in internet of things based on artificial intelligence,https://www.sciencedirect.com/science/article/pii/S221313882100014X,3tIos1NMR5sJ,"H Jin, J Zhao - Sustainable Energy Technologies and Assessments, 2021 - Elsevier","… Real-time estimation of energy cost of IoT nodes can improve the network security … energy cost detection method based on artificial intelligence. Firstly, the original network node energy …",8,"https://scholar.google.com/scholar?cites=11188995721597080286&as_sdt=2005&sciodt=0,5&hl=en&num=20",11188995721597080286,,{},{},,,
